% Generated on 01/31/2012 @ 10:59:26
% By Jonathan Sprinkle
0.000000	0.000000	0.000000
0.104528	0.309017	0.207912
0.207912	0.587785	0.406737
0.309017	0.809017	0.587785
0.406737	0.951057	0.743145
0.500000	1.000000	0.866025
0.587785	0.951057	0.951057
0.669131	0.809017	0.994522
0.743145	0.587785	0.994522
0.809017	0.309017	0.951057
0.866025	0.000000	0.866025
0.913545	-0.309017	0.743145
0.951057	-0.587785	0.587785
0.978148	-0.809017	0.406737
0.994522	-0.951057	0.207912
1.000000	-1.000000	0.000000
0.994522	-0.951057	-0.207912
0.978148	-0.809017	-0.406737
